"Country, Population, Year, GDP"
"['ARG', 45808747, 'YR2021', 487902572164.348]"
"['ARG', 45376763, 'YR2020', 385740508436.965]"
"['ARG', 44938712, 'YR2019', 447754683615.225]"
"['ARG', 44494502, 'YR2018', 524819892360.176]"
"['ARG', 44044811, 'YR2017', 643628393281.364]"
"['ARG', 43590368, 'YR2016', 557532320662.955]"
"['ARG', 43131966, 'YR2015', 594749285413.212]"
"['ARG', 42669500, 'YR2014', 526319673731.638]"
"['ARG', 42202935, 'YR2013', 552025140252.246]"
"['ARG', 41733271, 'YR2012', 545982375701.128]"
"['ARG', 41261490, 'YR2011', 530158122010.442]"
"['ARG', 40788453, 'YR2010', 423627422092.49]"
"['ARM', None, 'YR2023', None]"
"['ARM', 2780469, 'YR2022', 19513474648.2429]"
"['ARM', 2790974, 'YR2021', 13878908628.9378]"
"['ARM', 2805608, 'YR2020', 12641698583.2152]"
"['ARM', 2820602, 'YR2019', 13619290539.2116]"
"['ARM', 2836557, 'YR2018', 12457940694.7395]"
"['ARM', 2851923, 'YR2017', 11527458709.0158]"
"['ARM', 2865835, 'YR2016', 10546136235.5219]"
"['ARM', 2878595, 'YR2015', 10553337518.414]"
"['ARM', 2889930, 'YR2014', 11609513246.7958]"
"['ARM', 2901385, 'YR2013', 11121464437.0415]"
"['ARM', 2914421, 'YR2012', 10619320682.9474]"
"['ARM', 2928976, 'YR2011', 10142111824.5835]"
"['ARM', 2946293, 'YR2010', 9260285755.62424]"
"['ABW', None, 'YR2023', None]"
"['ABW', 106445, 'YR2022', 3544707788.05664]"
"['ABW', 106537, 'YR2021', 3103184101.51354]"
"['ABW', 106585, 'YR2020', 2558906303.88098]"
"['ABW', 106442, 'YR2019', 3395798882.68156]"
"['ABW', 105962, 'YR2018', 3276184357.5419]"
"['ABW', 105439, 'YR2017', 3092429050.27933]"
"['ABW', 104874, 'YR2016', 2983635195.53073]"
"['ABW', 104257, 'YR2015', 2962907262.56983]"
"['ABW', 103594, 'YR2014', 2790849720.67039]"
"['ABW', 102880, 'YR2013', 2727849720.67039]"
"['ABW', 102112, 'YR2012', 2615208379.88827]"
"['ABW', 101288, 'YR2011', 2637859217.87709]"
"['ABW', 100341, 'YR2010', 2453597206.70391]"
"['AUS', None, 'YR2023', None]"
"['AUS', 26005540, 'YR2022', 1692956646855.7]"
"['AUS', 25685412, 'YR2021', 1559033756285.13]"
"['AUS', 25649248, 'YR2020', 1330381544909.3]"
"['AUS', 25334826, 'YR2019', 1394671325960.57]"
"['AUS', 24963258, 'YR2018', 1429733668185.91]"
"['AUS', 24592588, 'YR2017', 1326882104817]"
"['AUS', 24190907, 'YR2016', 1207580901578.72]"
"['AUS', 23815995, 'YR2015', 1351768945139.11]"
"['AUS', 23475686, 'YR2014', 1468597690006.22]"
"['AUS', 23128129, 'YR2013', 1577301840200.01]"
"['AUS', 22733465, 'YR2012', 1547649835732.89]"
"['AUS', 22340024, 'YR2011', 1398701323029.63]"
"['AUS', 22031750, 'YR2010', 1148890200292.42]"
"['AUT', None, 'YR2023', None]"
"['AUT', 9041851, 'YR2022', 470941926750.741]"
"['AUT', 8955797, 'YR2021', 479295362747.047]"
"['AUT', 8916864, 'YR2020', 435049316955.737]"
"['AUT', 8879920, 'YR2019', 444596155845.254]"
"['AUT', 8840521, 'YR2018', 454991174096.102]"
"['AUT', 8797566, 'YR2017', 417261151844.977]"
"['AUT', 8736668, 'YR2016', 395837353031.499]"
"['AUT', 8642699, 'YR2015', 381971148530.543]"
"['AUT', 8546356, 'YR2014', 442584815286.034]"
"['AUT', 8479823, 'YR2013', 430190979705.962]"
"['AUT', 8429991, 'YR2012', 409401816050.531]"
"['AUT', 8391643, 'YR2011', 431685217367.511]"
"['AUT', 8363404, 'YR2010', 392275107258.667]"
"['AZE', None, 'YR2023', None]"
"['AZE', 10141756, 'YR2022', 78721058823.5294]"
"['AZE', 10137750, 'YR2021', 54825411764.7059]"
"['AZE', 10093121, 'YR2020', 42693000000]"
"['AZE', 10024283, 'YR2019', 48174235294.1176]"
"['AZE', 9939771, 'YR2018', 47112470051.7701]"
"['AZE', 9854033, 'YR2017', 40866627351.9817]"
"['AZE', 9757812, 'YR2016', 37866996882.9157]"
"['AZE', 9649341, 'YR2015', 53076235354.746]"
"['AZE', 9535079, 'YR2014', 75239785452.1022]"
"['AZE', 9416801, 'YR2013', 74160560123.6902]"
"['AZE', 9295784, 'YR2012', 69679944504.1972]"
"['AZE', 9173082, 'YR2011', 65952796427.9473]"
"['AZE', 9054332, 'YR2010', 52909294791.9262]"
"['BHS', None, 'YR2023', None]"
"['BHS', 409984, 'YR2022', 12897400000]"
"['BHS', 407906, 'YR2021', 11527600000]"
"['BHS', 406471, 'YR2020', 9754600000]"
"['BHS', 404557, 'YR2019', 13058700000]"
"['BHS', 401906, 'YR2018', 12653600000]"
"['BHS', 399020, 'YR2017', 12253500000]"
"['BHS', 395976, 'YR2016', 11750800000]"
"['BHS', 392697, 'YR2015', 11672900000]"
"['BHS', 389131, 'YR2014', 10974800000]"
"['BHS', 385650, 'YR2013', 10395500000]"
"['BHS', 382061, 'YR2012', 10720400000]"
"['BHS', 377950, 'YR2011', 10070450000]"
"['BHS', 373272, 'YR2010', 10095760000]"
"['BHR', None, 'YR2023', None]"
"['BHR', 1472233, 'YR2022', 44383297872.3404]"
"['BHR', 1463265, 'YR2021', 39288670212.766]"
"['BHR', 1477469, 'YR2020', 34621807712.766]"
"['BHR', 1494188, 'YR2019', 38653318085.1064]"
"['BHR', 1487340, 'YR2018', 37802005319.1489]"
"['BHR', 1456834, 'YR2017', 35473776595.7447]"
"['BHR', 1409661, 'YR2016', 32234973404.2553]"
"['BHR', 1362142, 'YR2015', 31050638297.8723]"
"['BHR', 1311134, 'YR2014', 33387712765.9574]"
"['BHR', 1261673, 'YR2013', 32539468085.1064]"
"['BHR', 1224939, 'YR2012', 30749308510.6383]"
"['BHR', 1212077, 'YR2011', 28776595744.6809]"
"['BHR', 1213645, 'YR2010', 25713271276.5957]"
"['BGD', None, 'YR2023', None]"
"['BGD', 171186372, 'YR2022', 460201265527.977]"
"['BGD', 169356251, 'YR2021', 416264800549.026]"
"['BGD', 167420951, 'YR2020', 373902197869.16]"
"['BGD', 165516222, 'YR2019', 351238399005.451]"
"['BGD', 163683958, 'YR2018', 321379127909.353]"
"['BGD', 161793964, 'YR2017', 293754781336]"
"['BGD', 159784568, 'YR2016', 265236390328.627]"
"['BGD', 157830000, 'YR2015', 195078573252.202]"
"['BGD', 155961299, 'YR2014', 172885432686.945]"
"['BGD', 154030139, 'YR2013', 149990529836.78]"
"['BGD', 152090649, 'YR2012', 133355820262.925]"
"['BGD', 150211005, 'YR2011', 128637983882.833]"
"['BGD', 148391139, 'YR2010', 115279077465.226]"
"['BRB', None, 'YR2023', None]"
"['BRB', 281635, 'YR2022', 5699950000]"
"['BRB', 281200, 'YR2021', 4923100000]"
"['BRB', 280693, 'YR2020', 4738800000]"
"['BRB', 280180, 'YR2019', 5341100000]"
"['BRB', 279688, 'YR2018', 5110250000]"
"['BRB', 279187, 'YR2017', 4992300000]"
"['BRB', 278649, 'YR2016', 4843300000]"
"['BRB', 278083, 'YR2015', 4734000000]"
"['BRB', 277493, 'YR2014', 4707600000]"
"['BRB', 276865, 'YR2013', 4685550000]"
"['BRB', 276197, 'YR2012', 4613850000]"
"['BRB', 275486, 'YR2011', 4656400000]"
"['BRB', 274711, 'YR2010', 4531150000]"
"['BLR', None, 'YR2023', None]"
"['BLR', 9228071, 'YR2022', 72793457588.4367]"
"['BLR', 9302585, 'YR2021', 69673747131.87]"
"['BLR', 9379952, 'YR2020', 61371755326.2351]"
"['BLR', 9419758, 'YR2019', 64410122847.3508]"
"['BLR', 9438785, 'YR2018', 60031173807.7196]"
"['BLR', 9458989, 'YR2017', 54725302249.8088]"
"['BLR', 9469379, 'YR2016', 47723545321.259]"
"['BLR', 9461076, 'YR2015', 56454889146.6088]"
"['BLR', 9448515, 'YR2014', 78812805039.0743]"
"['BLR', 9443211, 'YR2013', 75527558966.4473]"
"['BLR', 9446836, 'YR2012', 65685890438.8922]"
"['BLR', 9461643, 'YR2011', 61762382327.9319]"
"['BLR', 9483836, 'YR2010', 57231904542.8755]"
"['BEL', None, 'YR2023', None]"
"['BEL', 11685814, 'YR2022', 583435595579.963]"
"['BEL', 11586195, 'YR2021', 600748812601.541]"
"['BEL', 11538604, 'YR2020', 526264230147.394]"
"['BEL', 11488980, 'YR2019', 535865804349.803]"
"['BEL', 11427054, 'YR2018', 543299066998.902]"
"['BEL', 11375158, 'YR2017', 502764720556.354]"
"['BEL', 11331422, 'YR2016', 476062757356.927]"
"['BEL', 11274196, 'YR2015', 462335574841.484]"
"['BEL', 11209057, 'YR2014', 535390200131.018]"
"['BEL', 11159407, 'YR2013', 521791015247.06]"
"['BEL', 11106932, 'YR2012', 496152879924.727]"
"['BEL', 11038264, 'YR2011', 523330354138.133]"
"['BEL', 10895586, 'YR2010', 481420882905.001]"
"['BLZ', None, 'YR2023', None]"
"['BLZ', 405272, 'YR2022', 2830507575.6841]"
"['BLZ', 400031, 'YR2021', 2424575179.3783]"
"['BLZ', 394921, 'YR2020', 2047727810.06777]"
"['BLZ', 389095, 'YR2019', 2386792476.10637]"
"['BLZ', 382066, 'YR2018', 2292787335.62452]"
"['BLZ', 374693, 'YR2017', 2266664817.08822]"
"['BLZ', 367313, 'YR2016', 2240593542.9757]"
"['BLZ', 359871, 'YR2015', 2194709309.24204]"
"['BLZ', 352335, 'YR2014', 2125125606.25723]"
"['BLZ', 344688, 'YR2013', 2021757434.18064]"
"['BLZ', 337059, 'YR2012', 1899503249.8643]"
"['BLZ', 329538, 'YR2011', 1818831938.17757]"
"['BLZ', 322106, 'YR2010', 1739070295.44027]"
"['BEN', None, 'YR2023', None]"
"['BEN', 13352864, 'YR2022', 17396792699.5489]"
"['BEN', 12996895, 'YR2021', 17687623534.6665]"
"['BEN', 12643123, 'YR2020', 15686741893.5187]"
"['BEN', 12290444, 'YR2019', 14390708756.988]"
"['BEN', 11940683, 'YR2018', 14262408079.7014]"
"['BEN', 11596779, 'YR2017', 12701655845.9612]"
"['BEN', 11260085, 'YR2016', 11821065852.1271]"
"['BEN', 10932783, 'YR2015', 11388160997.1089]"
"['BEN', 10614844, 'YR2014', 13284527846.9081]"
"['BEN', 10308730, 'YR2013', 12517845123.9315]"
"['BEN', 10014078, 'YR2012', 11141358115.8991]"
"['BEN', 9726380, 'YR2011', 10693321363.6574]"
"['BEN', 9445710, 'YR2010', 9535345015.78355]"
"['BMU', None, 'YR2023', None]"
"['BMU', 63532, 'YR2022', 7546000000]"
"['BMU', 63764, 'YR2021', 7127200000]"
"['BMU', 63893, 'YR2020', 6887147000]"
"['BMU', 63911, 'YR2019', 7423465000]"
"['BMU', 63918, 'YR2018', 7225977000]"
"['BMU', 63873, 'YR2017', 7142316000]"
"['BMU', 64554, 'YR2016', 6899911000]"
"['BMU', 65237, 'YR2015', 6654541000]"
"['BMU', 65138, 'YR2014', 6413988000]"
"['BMU', 65001, 'YR2013', 6465756000]"
"['BMU', 64798, 'YR2012', 6378188000]"
"['BMU', 64564, 'YR2011', 6312691000]"
"['BMU', 65124, 'YR2010', 6634526000]"
"['BTN', None, 'YR2023', None]"
"['BTN', 782455, 'YR2022', None]"
"['BTN', 777486, 'YR2021', 2768003872.54065]"
"['BTN', 772506, 'YR2020', 2457604042.76364]"
"['BTN', 767459, 'YR2019', 2735683408.71698]"
"['BTN', 762096, 'YR2018', 2583335723.83252]"
"['BTN', 756121, 'YR2017', 2591358114.48376]"
"['BTN', 749761, 'YR2016', 2158971711.31564]"
"['BTN', 743274, 'YR2015', 2003596838.78013]"
"['BTN', 736357, 'YR2014', 1907090375.97776]"
"['BTN', 728889, 'YR2013', 1756214316.41385]"
"['BTN', 721145, 'YR2012', 1781280181.55431]"
"['BTN', 713331, 'YR2011', 1777102573.23973]"
"['BTN', 705516, 'YR2010', 1547990911.56653]"
"['BOL', None, 'YR2023', None]"
"['BOL', 12224110, 'YR2022', 44008282877.9606]"
"['BOL', 12079472, 'YR2021', 40406111695.179]"
"['BOL', 11936162, 'YR2020', 36629843806.0781]"
"['BOL', 11777315, 'YR2019', 40895322850.9407]"
"['BOL', 11606905, 'YR2018', 40287647930.5355]"
"['BOL', 11435533, 'YR2017', 37508642170.767]"
"['BOL', 11263015, 'YR2016', 33941126193.9219]"
"['BOL', 11090085, 'YR2015', 33000198248.9146]"
"['BOL', 10916987, 'YR2014', 32996188017.3661]"
"['BOL', 10743349, 'YR2013', 30659338885.6729]"
"['BOL', 10569697, 'YR2012', 27084497481.9103]"
"['BOL', 10396246, 'YR2011', 23963164696.592]"
"['BOL', 10223270, 'YR2010', 19649723722.1034]"
"['BIH', None, 'YR2023', None]"
"['BIH', 3233526, 'YR2022', 24473906673.7086]"
"['BIH', 3270943, 'YR2021', 23649568276.8447]"
"['BIH', 3318407, 'YR2020', 20226036564.4129]"
"['BIH', 3360711, 'YR2019', 20482608755.379]"
"['BIH', 3400129, 'YR2018', 20484053868.9246]"
"['BIH', 3440027, 'YR2017', 18326373366.1105]"
"['BIH', 3480986, 'YR2016', 17116926327.6247]"
"['BIH', 3524324, 'YR2015', 16404348871.4437]"
"['BIH', 3571068, 'YR2014', 18558733564.4692]"
"['BIH', 3617559, 'YR2013', 18179108530.5261]"
"['BIH', 3674374, 'YR2012', 17226735995.6905]"
"['BIH', 3743142, 'YR2011', 18644233537.1093]"
"['BIH', 3811088, 'YR2010', 17176315803.7298]"
"['BWA', None, 'YR2023', None]"
"['BWA', 2630296, 'YR2022', 20355541962.8512]"
"['BWA', 2588423, 'YR2021', 18737066311.1597]"
"['BWA', 2546402, 'YR2020', 14960291541.176]"
"['BWA', 2499702, 'YR2019', 16725908666.8462]"
"['BWA', 2451409, 'YR2018', 17031943186.1353]"
"['BWA', 2401840, 'YR2017', 16105156375.533]"
"['BWA', 2352416, 'YR2016', 15082636722.902]"
"['BWA', 2305171, 'YR2015', 13530748844.505]"
"['BWA', 2260376, 'YR2014', 15470088500.7414]"
"['BWA', 2217278, 'YR2013', 14271738933.2042]"
"['BWA', 2175425, 'YR2012', 13907464500.1489]"
"['BWA', 2134037, 'YR2011', 15110643612.1729]"
"['BWA', 2091664, 'YR2010', 12637273429.1339]"
"['BRA', None, 'YR2023', None]"
"['BRA', 215313498, 'YR2022', 1920095779022.73]"
"['BRA', 214326223, 'YR2021', 1649622821885.14]"
"['BRA', 213196304, 'YR2020', 1476107231194.11]"
"['BRA', 211782878, 'YR2019', 1873288205186.45]"
"['BRA', 210166592, 'YR2018', 1916933898038.36]"
"['BRA', 208504960, 'YR2017', 2063514977334.32]"
"['BRA', 206859578, 'YR2016', 1795693482652.52]"
"['BRA', 205188205, 'YR2015', 1802212206904.68]"
"['BRA', 203459650, 'YR2014', 2456043727198.85]"
"['BRA', 201721767, 'YR2013', 2472819535742.73]"
"['BRA', 199977707, 'YR2012', 2465227803011.57]"
"['BRA', 198185302, 'YR2011', 2616156223977.47]"
"['BRA', 196353492, 'YR2010', 2208837745214.23]"
"['BRN', None, 'YR2023', None]"
"['BRN', 449002, 'YR2022', 16681536466.7183]"
"['BRN', 445373, 'YR2021', 14006496617.4458]"
"['BRN', 441725, 'YR2020', 12005799653.9835]"
"['BRN', 438048, 'YR2019', 13469235364.7032]"
"['BRN', 434274, 'YR2018', 13566937673.7966]"
"['BRN', 430276, 'YR2017', 12128183904.4501]"
"['BRN', 425994, 'YR2016', 11400466356.3898]"
"['BRN', 421437, 'YR2015', 12930291487.9581]"
"['BRN', 416656, 'YR2014', 17097802752.8728]"
"['BRN', 411702, 'YR2013', 18094321616.7959]"
"['BRN', 406634, 'YR2012', 19048443340.7732]"
"['BRN', 401506, 'YR2011', 18525128526.3766]"
"['BRN', 396053, 'YR2010', 13707280259.9763]"
"['BGR', None, 'YR2023', None]"
"['BGR', 6465097, 'YR2022', 90346169914.9349]"
"['BGR', 6877743, 'YR2021', 84041493015.6618]"
"['BGR', 6934015, 'YR2020', 70368758395.141]"
"['BGR', 6975761, 'YR2019', 68881010245.5498]"
"['BGR', 7025037, 'YR2018', 66370132238.3914]"
"['BGR', 7075947, 'YR2017', 59309748166.1179]"
"['BGR', 7127822, 'YR2016', 53964253211.84]"
"['BGR', 7177991, 'YR2015', 50811995688.6771]"
"['BGR', 7223938, 'YR2014', 57157782909.9307]"
"['BGR', 7265115, 'YR2013', 55852123989.9504]"
"['BGR', 7305888, 'YR2012', 54288135058.7926]"
"['BGR', 7348328, 'YR2011', 57737040780.0157]"
"['BGR', 7395599, 'YR2010', 50760929302.5147]"
"['BFA', None, 'YR2023', None]"
"['BFA', 22673762, 'YR2022', 18820064797.8379]"
"['BFA', 22100683, 'YR2021', 19642668879.7694]"
"['BFA', 21522626, 'YR2020', 17725010530.7894]"
"['BFA', 20951639, 'YR2019', 16032813501.6639]"
"['BFA', 20392723, 'YR2018', 15890066221.2882]"
"['BFA', 19835858, 'YR2017', 14106955615.3442]"
"['BFA', 19275498, 'YR2016', 12833363045.3367]"
"['BFA', 18718019, 'YR2015', 11832159315.6298]"
"['BFA', 18169842, 'YR2014', 13943016076.7436]"
"['BFA', 17636408, 'YR2013', 13444300485.8412]"
"['BFA', 17113732, 'YR2012', 12561015156.5683]"
"['BFA', 16602651, 'YR2011', 12080295977.5632]"
"['BFA', 16116845, 'YR2010', 10109619740.6994]"
"['BDI', None, 'YR2023', None]"
"['BDI', 12889576, 'YR2022', 3338722827.66241]"
"['BDI', 12551213, 'YR2021', 2775798697.47186]"
"['BDI', 12220227, 'YR2020', 2649680261.43998]"
"['BDI', 11874838, 'YR2019', 2576518879.82353]"
"['BDI', 11493472, 'YR2018', 2667182199.51333]"
"['BDI', 11155593, 'YR2017', 2723586962.84034]"
"['BDI', 10903327, 'YR2016', 2644487776.50077]"
"['BDI', 10727148, 'YR2015', 3104003546.26497]"
"['BDI', 10494913, 'YR2014', 2705783329.80483]"
"['BDI', 10149577, 'YR2013', 2451606632.29246]"
"['BDI', 9795479, 'YR2012', 2333341334.45753]"
"['BDI', 9455733, 'YR2011', 2235820809.32006]"
"['BDI', 9126605, 'YR2010', 2032135192.01248]"
"['KHM', None, 'YR2023', None]"
"['KHM', 16767842, 'YR2022', 29504829319.3169]"
"['KHM', 16589023, 'YR2021', 26961061151.7337]"
"['KHM', 16396860, 'YR2020', 25872797891.7664]"
"['KHM', 16207746, 'YR2019', 27089390032.798]"
"['KHM', 16025238, 'YR2018', 24571753583.3935]"
"['KHM', 15830689, 'YR2017', 22177200588.1826]"
"['KHM', 15624584, 'YR2016', 20016747857.6367]"
"['KHM', 15417523, 'YR2015', 18049954289.4721]"
"['KHM', 15210817, 'YR2014', 16702610842.3529]"
"['KHM', 14999683, 'YR2013', 15227991395.1207]"
"['KHM', 14786640, 'YR2012', 14054443213.4887]"
"['KHM', 14573885, 'YR2011', 12829541141.062]"
"['KHM', 14363532, 'YR2010', 11242275287.581]"
"['CMR', None, 'YR2023', None]"
"['CMR', 27914536, 'YR2022', 43644068310.851]"
"['CMR', 27198628, 'YR2021', 44993521774.066]"
"['CMR', 26491087, 'YR2020', 40773241177.0505]"
"['CMR', 25782341, 'YR2019', 39670976452.5283]"
"['CMR', 25076747, 'YR2018', 39973842087.2242]"
"['CMR', 24393181, 'YR2017', 36098547033.1655]"
"['CMR', 23711630, 'YR2016', 33814337044.3765]"
"['CMR', 23012646, 'YR2015', 32210233020.4569]"
"['CMR', 22299585, 'YR2014', 36386544706.0806]"
"['CMR', 21632850, 'YR2013', 33728621180.3231]"
"['CMR', 21032684, 'YR2012', 30155062329.2821]"
"['CMR', 20448873, 'YR2011', 30630910495.217]"
"['CMR', 19878036, 'YR2010', 27507501821.0296]"
"['CAN', None, 'YR2023', None]"
"['CAN', 38929902, 'YR2022', 2161483369422.01]"
"['CAN', 38226498, 'YR2021', 2007472181464.15]"
"['CAN', 38007166, 'YR2020', 1655684730000.19]"
"['CAN', 37601230, 'YR2019', 1743725183672.52]"
"['CAN', 37065084, 'YR2018', 1725329192783.02]"
"['CAN', 36545236, 'YR2017', 1649265644244.09]"
"['CAN', 36109487, 'YR2016', 1527994741907.43]"
"['CAN', 35702908, 'YR2015', 1556508816217.14]"
"['CAN', 35437435, 'YR2014', 1805749878439.94]"
"['CAN', 35082954, 'YR2013', 1846597421834.98]"
"['CAN', 34714222, 'YR2012', 1828366481521.6]"
"['CAN', 34339328, 'YR2011', 1793326630174.52]"
"['CAN', 34004889, 'YR2010', 1617343367486.26]"
"['CPV', None, 'YR2023', None]"
"['CPV', 593149, 'YR2022', 2226862134.08787]"
"['CPV', 587925, 'YR2021', 1997866378.77119]"
"['CPV', 582640, 'YR2020', 1821565613.68613]"
"['CPV', 577030, 'YR2019', 2252177124.32402]"
"['CPV', 571202, 'YR2018', 2205099506.99994]"
"['CPV', 564954, 'YR2017', 1996741539.95088]"
"['CPV', 558394, 'YR2016', 1849789985.99572]"
"['CPV', 552166, 'YR2015', 1749857620.35329]"
"['CPV', 546076, 'YR2014', 2041930125.42979]"
"['CPV', 539940, 'YR2013', 2028910915.16446]"
"['CPV', 533864, 'YR2012', 1913081210.41411]"
"['CPV', 527521, 'YR2011', 2046817987.20109]"
"['CPV', 521212, 'YR2010', 1824751467.92957]"
"['CAF', None, 'YR2023', None]"
"['CAF', 5579144, 'YR2022', 2382618615.01694]"
"['CAF', 5457154, 'YR2021', 2516498412.46384]"
"['CAF', 5343020, 'YR2020', 2326720900.38047]"
"['CAF', 5209324, 'YR2019', 2221301351.43918]"
"['CAF', 5094780, 'YR2018', 2220979146.11241]"
"['CAF', 4996741, 'YR2017', 2072349972.6818]"
"['CAF', 4904177, 'YR2016', 1825018144.65595]"
"['CAF', 4819333, 'YR2015', 1695825714.19282]"
"['CAF', 4798734, 'YR2014', 1894813389.40325]"
"['CAF', 4802428, 'YR2013', 1691544110.18543]"
"['CAF', 4773306, 'YR2012', 2510126512.22831]"
"['CAF', 4732022, 'YR2011', 2437982705.12093]"
"['CAF', 4660067, 'YR2010', 2142591540.40068]"
"['TCD', None, 'YR2023', None]"
"['TCD', 17723315, 'YR2022', 12704149840.2283]"
"['TCD', 17179740, 'YR2021', 11779981332.8631]"
"['TCD', 16644701, 'YR2020', 10715396042.3343]"
"['TCD', 16126866, 'YR2019', 11314951091.7283]"
"['TCD', 15604210, 'YR2018', 11239167898.3395]"
"['TCD', 15085884, 'YR2017', 10000394381.0177]"
"['TCD', 14592585, 'YR2016', 10097778098.1707]"
"['TCD', 14140274, 'YR2015', 10950392256.9543]"
"['TCD', 13697126, 'YR2014', 13940767218.5849]"
"['TCD', 13216766, 'YR2013', 12953534866.4286]"
"['TCD', 12754906, 'YR2012', 12367362757.1342]"
"['TCD', 12317730, 'YR2011', 12172308851.0395]"
"['TCD', 11894727, 'YR2010', 10668103554.1192]"
"['CHL', None, 'YR2023', None]"
"['CHL', 19603733, 'YR2022', 301024724911.923]"
"['CHL', 19493184, 'YR2021', 316581155648.871]"
"['CHL', 19300315, 'YR2020', 254258196269.735]"
